ENGINEER,PARENT,PARTNO,DESCRIPTION,QTY,VENDOR,VENDOR PARTNO,MANUFACTURER,MANUF. PARTNO,APPROX. LEAD TIME [WEEKS],COST EA.,EXT COST,NOTES,MULTIPLIER,EXTENDED_QTY,QTY ORDERED,QTY RECEIVED
unknown,RC-ASY-00099,MCM 93825A110,"LN, M3x0.5, LOCK WASHER, STEEL CLASS 8",8,MCMASTER,93825A110,,,1,$0.10,$0.77,100,1,24,,
unknown,RC-ASY-00099,MCM 94500A222,"BHCS, M3X0.5, 8MM, 316SS",8,MCMASTER,94500A222,,,1,$0.06,$0.50,100,1,24,,
unknown,RC-ASY-00102,IDEX P-321,"FITTING PLUG, 1/4-28, PEEK",1,,,IDEX,P-321,1,$12.54,$12.54,4,1,3,,
unknown,RC-ASY-00102,IDEX P-619,"FITTING ADAPTER, 1/4-28 MALE TO MALE LUER SLIP, PP",1,,,IDEX,P-619,1,$3.04,$3.04,0,1,3,,
unknown,RC-ASY-00102,IDEX P-683,"FITTING, 1/4-28 MALE TO MALE LUER LOCK, PEEK",1,,,IDEX,P-683,1,$20.56,$20.56,0,1,3,,
unknown,RC-ASY-00102,IDEX XP-235-CP,"FITTING, 1/4-28 FLAT BOTTOM, 1/16"" TUBE, PEEK",1,,,IDEX,XP-235-CP,1,,$0.00,0,1,3,,
unknown,RC-ASY-00102,MCM 92125A130,"FHCS, M3x0.5, 10mm, 18-8 SS",2,MCMASTER,92125A130,,,1,$0.06,$0.12,25,1,6,,
unknown,RC-ASY-00102,MCM 92290A111,"SHCS, M3X0.5, 6MM, 316 SS",3,MCMASTER,92290A111,,,1,$0.20,$0.61,50,1,9,,
unknown,RC-ASY-00102,MCM 94500A222,"BHCS, M3X0.5, 8MM, 316SS",2,MCMASTER,94500A222,,,1,$0.06,$0.13,100,1,6,,
unknown,RC-ASY-00102,NORD 7018216,"TAPERED NEEDLE, 20 GAUGE, PE",1,,,NORDSON EFD,7018216,1,,$0.00,0,1,3,,
unknown,RC-ASY-00103,RC-FAB-00507,"BASE PLATE, BULK WASTE MODULE, RC2",1,,,PROTOLABS,,1, $ 292.19 , $ 292.19 ,,1,3,,
unknown,RC-ASY-00103,RC-FAB-00509,"SIDE SUPPORT, BULK WASTE MODULE, RC2",2,,,PROTOLABS,,1, $ 471.92 , $ 943.84 ,,1,6,,
